Quotation Expecting Day,Customer Name,Part Number,Product Name,Product Category,Quantity
2024-12-05,Teaching Hospital Colombo South,66319,ISE MID STANDARD- 4 X 2000 ML,BIOCHEMISTRY,8.0
2024-12-05,Teaching Hospital Colombo South,OSR6279,CK-NAC,BIOCHEMISTRY,2.0
2024-12-05,Teaching Hospital Colombo South,OSR6198,URIC ACID REAGENT- 4 X 30 ML & 4 X 12.5 ML,BIOCHEMISTRY,3.0
2024-12-05,Teaching Hospital Colombo South,OSR6126,LDH,BIOCHEMISTRY,2.0
2024-12-05,Teaching Hospital Colombo South,OSR6170,URINARY/CSF PROTEIN- R1 4X19 ML- CALIBRATOR 1X3 ML,BIOCHEMISTRY,4.0
2024-12-05,Teaching Hospital Colombo South,OSR6147,CRP- R1 4 X 14 ML- R2 4 X 6 ML,BIOCHEMISTRY,30.0
2024-12-05,Teaching Hospital Colombo South,66320,ISE BUFFER- 4 X 2000 ML,BIOCHEMISTRY,5.0
2024-12-05,Teaching Hospital Colombo South,OSR6202,ALB(ALBUMIN)REAGENT 4X54ML,BIOCHEMISTRY,3.0
2024-12-05,Teaching Hospital Colombo South,OSR6132,TP (TOTAL PROTEIN) REAGENT- 4 X 25 ML & 4 X 25 ML,BIOCHEMISTRY,2.0
2024-12-05,Teaching Hospital Colombo South,OSR61117,CALCIUM ARSENAZO- R1 4 X 29 ML,BIOCHEMISTRY,4.0
2024-12-05,Teaching Hospital Colombo South,OSR6216,CHOLESTEROL 4X45 ML R1,BIOCHEMISTRY,1.0
2024-12-05,Teaching Hospital Colombo South,OSR6106,AMYLASE REAGENT- 4 X 40 ML,BIOCHEMISTRY,4.0
2024-12-05,Teaching Hospital Colombo South,OSR6212,TBIL (TOTAL BILIRUBIN) REA- 4 X 40 ML & 4 X 40 ML,BIOCHEMISTRY,4.0
2024-12-05,Teaching Hospital Colombo South,OSR6211,DIRECT BILIRUBIN- R1 4X20 ML- R2 4X20 ML,BIOCHEMISTRY,8.0
2024-12-05,Teaching Hospital Colombo South,OSR6122,INORGANIC PHOSPHOROUS- R1 4X15 ML- R2 4X15 ML,BIOCHEMISTRY,1.0
2024-12-05,Teaching Hospital Colombo South,OSR6104,ALP (ALKALINE PHOSPHATASE) REAGENT,BIOCHEMISTRY,2.0
2024-12-05,Teaching Hospital Colombo South,OSR6120,GGT,BIOCHEMISTRY,3.0
2024-12-05,Teaching Hospital Colombo South,OSR6109,AST (ASPARTATE AMINOTRANSFERASE) REAGENT R1 4X25ML/R2 4X25ML,BIOCHEMISTRY,10.0
2024-12-05,Teaching Hospital Colombo South,OSR6221,GLUCOSE- R1 4 X 53 ML- R2 4 X 27 ML,BIOCHEMISTRY,2.0
2024-12-05,Teaching Hospital Colombo South,OSR6234,UREA- R1 4 X 53 ML- R2 4 X 53 ML,BIOCHEMISTRY,8.0
2024-12-05,Teaching Hospital Colombo South,OSR6189,MAGNESIUM- R1 4 X 40 ML,BIOCHEMISTRY,3.0
2024-12-05,Teaching Hospital Colombo South,OSR6107,ALT (ALANINE AMINOTRANSFERASE) IFCC REAGENT,BIOCHEMISTRY,10.0
